absences,G_avg,Medu,failures,studytime,higher_yes,health
2,13.0,3.0,0,3,1,3
0,13.0,4.0,0,1,1,4
6,10.666666666666666,1.0,3,1,1,4
4,11.0,2.0,0,1,1,3
0,7.0,3.0,1,2,1,5
2,8.333333333333334,2.0,1,1,0,2
0,8.0,1.0,0,2,0,5
0,10.0,2.0,0,2,0,4
0,17.333333333333332,3.0,0,2,1,3
0,12.333333333333334,2.0,0,2,1,4
0,16.333333333333332,4.0,0,2,1,3
0,10.0,4.0,0,2,1,5
0,13.333333333333334,2.0,0,2,1,3
0,14.333333333333334,3.0,0,2,1,4
0,13.0,2.0,0,2,1,5
4,10.0,3.0,0,2,1,4
8,10.0,3.0,0,1,1,3
0,12.0,3.0,0,2,1,3
0,17.333333333333332,3.0,0,2,1,5
32,13.666666666666666,3.0,0,2,1,1
6,12.666666666666666,3.0,0,2,1,4
10,13.0,3.0,0,2,1,3
0,11.666666666666666,1.0,0,2,1,3
0,10.333333333333334,3.0,0,1,1,5
8,15.0,3.0,0,2,1,5
4,13.333333333333334,4.0,0,1,1,5
16,11.0,3.0,0,1,1,3
30,15.0,4.0,1,1,1,2
0,10.666666666666666,4.0,0,2,1,3
0,14.666666666666666,1.0,0,2,1,1
21,13.0,2.0,0,1,1,3
6,13.0,2.0,0,4,1,5
2,11.333333333333334,2.0,0,2,1,4
2,12.666666666666666,1.0,0,1,1,5
4,12.0,3.0,0,4,1,3
15,12.333333333333334,4.0,0,2,1,3
0,13.0,2.0,0,2,1,4
10,11.333333333333334,2.0,0,2,1,5
6,11.333333333333334,4.0,0,1,1,3
10,10.0,3.0,0,2,1,4
0,12.333333333333334,2.0,0,3,1,4
12,12.0,1.0,0,3,1,5
9,9.666666666666666,2.0,3,2,1,4
4,15.666666666666666,4.0,0,3,1,5
4,8.0,2.0,0,2,1,4
0,12.666666666666666,2.0,0,2,1,1
0,13.0,4.0,0,2,1,2
0,13.333333333333334,4.0,0,2,1,1
2,9.0,1.0,0,2,1,5
0,16.0,2.0,0,2,1,4
18,10.0,3.0,1,2,1,3
16,9.0,2.0,1,2,1,5
14,7.333333333333333,3.0,1,1,0,3
26,7.666666666666667,2.0,1,1,0,1
6,9.0,4.0,0,1,1,5
10,10.333333333333334,1.0,0,3,1,4
16,7.666666666666667,2.0,0,2,0,2
8,10.0,2.0,1,1,0,1
4,14.666666666666666,1.0,0,3,1,5
4,14.333333333333334,3.0,0,2,1,4
0,12.0,4.0,0,2,1,4
4,14.666666666666666,4.0,0,1,1,5
2,11.333333333333334,4.0,0,2,1,5
2,14.0,1.0,0,3,1,1
10,11.0,3.0,0,3,1,5
10,9.666666666666666,1.0,0,2,1,4
4,10.666666666666666,1.0,0,2,1,5
12,6.666666666666667,2.0,3,1,0,1
8,9.666666666666666,3.0,0,2,1,5
0,11.333333333333334,1.0,0,1,1,5
4,10.0,3.0,1,2,1,2
0,9.666666666666666,1.0,1,1,1,5
2,15.333333333333334,3.0,0,4,1,4
0,10.333333333333334,2.0,0,2,1,5
2,12.333333333333334,3.0,0,3,1,5
4,12.333333333333334,1.0,0,3,1,3
4,11.666666666666666,2.0,0,2,1,5
0,9.666666666666666,2.0,0,1,0,4
2,11.0,2.0,0,4,1,2
2,13.333333333333334,3.0,0,3,1,4
0,12.0,2.0,0,3,1,3
8,8.333333333333334,2.0,0,1,0,4
0,12.0,2.0,0,2,1,5
8,11.0,4.0,0,2,1,4
4,12.0,3.0,0,2,1,5
16,11.666666666666666,3.0,0,2,1,5
2,13.0,1.0,0,2,1,3
6,15.666666666666666,3.0,0,2,1,1
6,12.0,2.0,0,2,1,5
6,11.666666666666666,4.0,0,1,1,3
2,13.0,4.0,1,2,1,4
8,14.333333333333334,2.0,0,3,1,1
2,17.333333333333332,1.0,0,4,1,3
0,12.666666666666666,1.0,0,2,1,4
12,12.666666666666666,2.0,0,2,1,5
0,12.0,1.0,0,2,1,4
0,18.0,2.0,0,3,1,2
0,13.333333333333334,1.0,0,3,1,3
0,17.0,4.0,0,2,1,2
2,15.666666666666666,3.0,0,2,1,5
0,18.666666666666668,2.0,0,4,1,3
0,14.666666666666666,3.0,0,1,1,5
2,13.333333333333334,4.0,0,2,1,2
0,17.666666666666668,4.0,0,1,1,1
0,14.666666666666666,4.0,0,2,1,4
0,12.666666666666666,4.0,0,1,1,5
0,7.333333333333333,4.0,0,3,1,5
0,16.0,3.0,0,3,1,3
0,10.333333333333334,3.0,0,2,1,5
2,16.0,4.0,0,1,1,5
8,12.333333333333334,3.0,0,2,1,3
9,10.333333333333334,3.0,0,2,1,1
0,12.0,4.0,0,2,1,5
2,15.333333333333334,4.0,0,1,1,5
0,12.333333333333334,3.0,0,2,1,5
2,9.333333333333334,4.0,0,1,1,5
12,10.333333333333334,1.0,0,3,0,5
2,8.333333333333334,1.0,2,2,1,4
2,10.0,2.0,0,1,1,5
4,13.333333333333334,2.0,0,2,1,3
0,10.666666666666666,2.0,0,3,1,3
0,17.333333333333332,2.0,0,3,1,5
0,14.333333333333334,1.0,0,3,1,2
0,14.0,1.0,0,3,1,2
0,13.333333333333334,4.0,0,3,1,3
0,17.333333333333332,3.0,0,1,1,5
2,10.333333333333334,2.0,0,1,1,4
0,12.666666666666666,4.0,0,3,1,4
4,14.666666666666666,4.0,0,3,1,4
2,11.333333333333334,3.0,0,1,1,5
0,11.333333333333334,2.0,0,4,1,5
2,9.666666666666666,2.0,0,2,1,2
0,15.0,3.0,0,3,1,5
6,14.666666666666666,2.0,0,1,1,5
8,11.0,3.0,0,2,1,4
0,10.333333333333334,2.0,0,2,1,2
6,13.666666666666666,2.0,0,4,1,4
4,14.333333333333334,3.0,0,4,1,1
0,12.333333333333334,4.0,0,2,1,2
18,12.0,2.0,0,2,1,4
6,12.0,2.0,1,1,1,3
0,11.0,4.0,2,3,1,5
11,10.666666666666666,2.0,0,2,0,3
0,15.666666666666666,2.0,0,2,1,4
2,14.0,4.0,0,3,1,4
0,16.0,3.0,0,2,1,3
21,9.666666666666666,1.0,2,2,0,4
8,13.666666666666666,1.0,0,3,1,3
5,10.0,4.0,1,1,1,5
10,16.0,2.0,0,2,1,4
11,10.666666666666666,2.0,0,1,0,5
0,12.0,2.0,0,2,1,5
6,10.0,1.0,1,1,1,2
4,10.333333333333334,3.0,0,1,1,5
5,10.666666666666666,4.0,0,2,1,2
0,6.333333333333333,1.0,1,1,0,5
0,13.666666666666666,4.0,0,1,1,5
4,10.0,2.0,0,4,0,1
0,10.0,1.0,0,2,1,4
4,7.0,1.0,1,1,1,2
0,11.666666666666666,1.0,0,1,1,2
0,15.333333333333334,3.0,0,1,1,4
0,2.3333333333333335,1.0,0,2,1,3
4,8.666666666666666,1.0,0,2,1,5
8,8.333333333333334,1.0,0,2,1,4
0,11.0,3.0,0,2,1,5
6,16.333333333333332,4.0,0,3,1,4
4,10.0,2.0,0,2,1,4
0,14.0,1.0,0,2,1,2
0,12.0,1.0,0,4,1,1
2,9.666666666666666,1.0,0,3,1,5
1,10.666666666666666,1.0,0,2,1,2
0,13.0,1.0,0,1,1,2
0,13.666666666666666,1.0,0,2,1,2
2,12.333333333333334,2.0,0,3,1,5
6,11.0,1.0,0,1,1,5
0,10.0,2.0,0,1,1,4
1,13.666666666666666,2.0,0,2,1,2
1,12.666666666666666,2.0,0,1,1,4
0,12.666666666666666,4.0,0,2,1,3
4,12.333333333333334,3.0,0,2,1,1
2,11.666666666666666,2.0,1,2,1,5
0,14.666666666666666,2.0,0,1,1,4
2,10.666666666666666,2.0,0,1,1,3
0,13.0,2.0,0,3,1,4
11,11.0,3.0,0,1,1,3
0,7.333333333333333,1.0,3,2,1,1
4,9.333333333333334,2.0,0,1,0,5
0,9.333333333333334,1.0,0,1,0,4
1,10.0,2.0,0,2,0,1
6,7.333333333333333,2.0,0,1,0,1
0,10.666666666666666,2.0,0,2,1,4
1,9.666666666666666,2.0,1,1,1,3
6,8.333333333333334,1.0,1,3,0,3
0,9.0,1.0,1,1,0,4
4,10.0,1.0,1,1,0,2
12,8.0,1.0,1,2,1,1
2,9.333333333333334,2.0,0,2,1,3
0,13.333333333333334,3.0,0,1,0,4
2,14.0,1.0,0,1,1,4
0,10.333333333333334,3.0,1,4,1,5
0,16.333333333333332,2.0,0,1,1,5
2,9.0,2.0,1,4,1,3
0,14.0,1.0,0,4,1,5
0,12.666666666666666,2.0,0,3,1,1
0,11.0,1.0,0,1,1,5
8,10.0,3.0,1,2,1,3
0,10.666666666666666,1.0,0,3,1,3
0,9.333333333333334,2.0,1,1,1,5
0,17.0,1.0,0,2,1,1
0,16.333333333333332,2.0,0,2,1,1
9,7.0,1.0,1,2,1,5
0,7.333333333333333,2.0,0,1,1,1
8,9.0,1.0,0,2,1,3
0,15.333333333333334,4.0,0,2,1,2
8,7.0,3.0,1,2,1,1
6,7.333333333333333,1.0,0,2,1,5
4,8.0,4.0,0,2,1,3
2,5.666666666666667,4.0,0,4,0,5
0,15.0,4.0,0,3,1,5
0,9.666666666666666,2.0,0,3,1,3
5,9.0,2.0,0,1,1,5
1,11.0,4.0,0,1,1,5
8,8.666666666666666,3.0,0,1,1,3
0,10.0,1.0,0,2,1,1
0,11.666666666666666,4.0,0,1,1,5
8,13.666666666666666,2.0,0,4,1,5
2,11.0,2.0,0,3,1,5
0,10.333333333333334,2.0,0,2,1,5
1,11.0,4.0,0,3,1,5
2,8.666666666666666,4.0,3,1,1,5
2,11.666666666666666,2.0,0,1,1,5
0,14.666666666666666,4.0,0,2,1,5
2,10.666666666666666,1.0,0,2,1,3
0,17.666666666666668,3.0,0,2,1,5
0,12.666666666666666,2.0,0,2,1,5
2,9.333333333333334,1.0,2,2,0,4
3,10.333333333333334,1.0,0,1,0,4
2,8.666666666666666,2.0,3,2,1,5
0,10.333333333333334,2.0,0,1,0,5
0,9.666666666666666,1.0,0,1,1,2
6,9.666666666666666,1.0,0,2,1,5
0,12.0,2.0,0,2,1,1
0,2.3333333333333335,2.0,1,1,1,5
0,9.666666666666666,1.0,0,1,1,5
2,8.333333333333334,1.0,1,1,0,5
9,6.666666666666667,3.0,2,2,0,3
6,7.666666666666667,2.0,0,1,1,4
9,8.666666666666666,1.0,0,1,1,5
12,9.666666666666666,1.0,1,1,0,4
8,10.0,1.0,1,2,1,2
4,9.0,3.0,1,2,1,3
0,9.333333333333334,2.0,0,1,0,3
4,9.0,1.0,1,1,1,5
0,7.0,1.0,0,1,0,5
0,4.666666666666667,2.0,1,1,0,3
0,10.666666666666666,0.0,0,1,1,5
5,7.666666666666667,2.0,0,3,0,3
0,5.333333333333333,3.0,0,2,1,5
3,7.0,2.0,1,2,1,4
3,7.333333333333333,1.0,2,2,1,5
2,13.0,2.0,0,2,1,1
0,12.0,3.0,0,1,1,4
0,18.0,4.0,0,2,1,1
3,17.0,4.0,0,1,1,5
0,17.666666666666668,3.0,0,2,1,4
0,3.0,2.0,1,2,1,4
5,13.0,4.0,0,1,1,1
4,13.0,1.0,0,1,0,4
4,8.666666666666666,2.0,0,2,1,2
0,12.0,2.0,0,3,1,3
0,1.6666666666666667,3.0,0,2,1,5
2,9.666666666666666,1.0,1,2,0,2
0,1.6666666666666667,1.0,1,1,0,2
0,18.0,3.0,0,4,1,5
2,9.666666666666666,1.0,0,2,1,3
0,2.6666666666666665,1.0,3,2,0,1
5,14.333333333333334,2.0,0,3,1,4
0,10.0,3.0,0,2,1,5
2,12.0,4.0,0,2,1,5
2,13.666666666666666,1.0,0,1,1,3
0,18.0,1.0,0,3,1,4
6,12.666666666666666,3.0,0,2,1,3
4,14.666666666666666,4.0,0,2,1,1
0,9.0,2.0,0,2,1,3
0,15.666666666666666,4.0,0,3,1,5
0,8.333333333333334,1.0,1,1,1,1
0,4.0,4.0,0,2,1,5
8,11.0,2.0,0,3,1,3
0,16.333333333333332,4.0,0,3,1,1
4,11.0,1.0,0,3,1,4
4,8.0,1.0,1,2,1,3
1,13.666666666666666,4.0,0,2,1,2
1,16.0,3.0,0,2,1,1
10,8.666666666666666,2.0,0,2,1,1
4,18.0,4.0,0,2,1,2
0,4.333333333333333,1.0,1,1,1,5
0,4.666666666666667,3.0,1,1,1,3
0,15.333333333333334,2.0,0,3,1,4
4,8.666666666666666,4.0,0,1,1,5
4,15.333333333333334,2.0,0,2,1,1
6,10.666666666666666,1.0,0,2,1,5
6,10.0,2.0,0,1,1,2
