age,workclass,education,marital.status,occupation,relationship,race,sex,hours.per.week,native.country,income
46,2,12,2,11,0,4,1,65,0,1
40,2,12,2,3,0,4,1,45,0,1
32,2,9,2,9,0,4,1,48,0,1
41,3,15,2,3,0,4,1,55,0,1
60,3,14,2,9,0,4,1,80,0,1
31,2,12,2,3,0,4,1,70,1,1
58,4,15,2,4,0,4,1,40,0,1
37,3,9,2,11,0,4,1,50,0,1
44,4,9,2,3,0,4,1,50,0,1
55,3,9,2,3,0,4,1,50,0,1
44,3,12,2,9,0,4,1,55,0,1
39,2,14,2,9,0,1,1,67,1,1
46,4,9,2,11,0,4,1,40,0,1
39,2,15,2,4,0,4,1,99,0,1
62,3,9,2,4,0,4,1,60,0,1
31,4,11,2,7,5,4,0,40,0,1
46,2,9,2,0,0,1,1,35,1,1
46,4,14,2,9,0,4,1,80,0,1
39,3,8,2,2,0,4,1,40,0,1
39,2,14,2,11,0,4,1,99,0,1
59,2,10,2,9,0,4,1,45,0,1
50,3,14,2,9,0,4,1,60,0,1
46,2,10,2,9,0,4,1,55,0,1
53,4,9,2,3,0,4,1,40,0,1
50,4,14,2,9,0,4,1,30,0,1
41,3,14,2,3,5,4,0,55,0,1
36,2,9,2,11,0,4,1,45,0,1
38,2,14,2,9,0,4,1,90,0,1
54,2,15,2,11,0,4,1,50,0,1
50,2,9,2,3,5,4,0,20,0,1
47,2,9,2,3,0,4,1,60,0,1
47,3,14,2,9,0,4,1,45,0,1
67,2,9,6,3,1,4,1,40,0,1
67,3,9,2,3,0,4,1,75,0,1
72,4,10,2,9,0,4,1,25,0,1
46,3,12,2,3,0,4,1,50,0,1
78,3,9,2,3,0,4,1,40,0,1
71,3,9,2,3,0,4,1,60,0,1
83,3,9,2,3,0,4,1,55,0,1
68,2,12,2,3,0,4,1,40,0,1
26,2,8,2,0,0,4,1,45,0,0
68,5,10,2,9,0,4,1,60,0,1
49,3,11,2,0,5,4,0,40,0,1
36,2,11,2,9,0,4,1,60,0,0
70,4,9,2,2,0,4,1,12,0,1
27,2,15,2,0,5,2,0,20,0,0
35,1,15,2,3,0,4,1,40,0,0
23,2,11,2,11,0,4,1,40,0,0
81,2,11,2,3,0,4,1,26,0,1
66,4,10,2,11,0,4,1,25,0,1
71,2,11,2,3,0,4,1,45,0,1
68,2,15,2,11,0,4,1,55,0,1
52,2,11,2,11,0,2,1,40,0,0
40,3,7,2,2,0,4,1,50,0,0
21,2,15,2,3,0,4,1,48,0,0
35,2,11,2,2,0,4,1,40,0,0
70,3,9,2,3,0,4,1,50,0,1
61,4,11,2,4,0,4,1,50,0,0
65,3,11,2,4,0,4,1,65,0,0
46,2,4,0,2,1,4,0,45,0,0
26,1,9,4,9,1,4,1,55,0,0
59,1,11,6,4,4,4,1,40,0,0
61,2,4,4,5,1,2,1,40,0,0
60,5,9,0,9,1,4,0,40,0,0
49,3,15,0,3,1,4,1,50,0,0
25,2,9,4,9,3,4,0,35,0,0
59,1,11,5,10,2,2,0,40,0,0
28,5,15,5,3,3,4,1,40,0,0
56,4,12,0,11,4,4,0,60,0,0
41,2,11,0,2,1,4,1,40,0,0
42,2,11,4,0,2,2,0,40,1,0
28,2,14,4,9,1,4,1,40,1,0
40,4,14,0,7,1,4,0,35,0,0
69,2,9,6,9,1,4,1,40,0,1
66,1,11,2,2,0,4,1,40,0,0
69,2,4,2,6,0,4,1,40,0,0
55,1,12,2,9,5,4,0,40,0,0
57,0,11,4,0,1,4,1,40,0,0
20,4,15,4,4,3,4,1,10,0,0
33,2,11,0,2,1,4,1,84,0,0
30,4,15,4,11,2,1,1,40,1,0
40,2,9,4,12,1,1,0,48,1,0
38,2,15,5,6,1,4,1,55,0,1
46,5,7,0,0,4,4,1,38,0,1
29,2,9,4,3,1,4,0,45,0,1
57,0,9,4,0,1,4,1,40,0,0
39,2,11,4,2,3,4,1,42,0,1
47,2,9,0,3,1,4,1,40,0,1
26,2,9,4,3,1,4,1,45,0,1
27,4,11,4,2,1,4,1,50,0,0
23,2,9,4,9,3,4,0,40,0,1
34,2,12,4,9,1,4,1,50,0,0
33,2,2,0,2,1,4,1,42,0,0
38,1,12,4,9,1,4,0,60,0,0
57,2,15,6,0,4,4,0,38,0,1
36,2,11,4,3,1,4,1,70,0,0
44,0,9,0,12,1,4,1,40,0,1
49,5,10,4,3,1,4,0,50,0,1
44,3,15,4,11,1,4,1,60,0,0
55,2,15,6,4,1,4,1,62,0,1
45,2,11,0,4,1,4,1,44,0,1
48,2,11,0,3,1,4,0,40,0,1
31,2,9,2,3,0,4,1,45,0,1
55,1,11,2,9,2,4,0,40,0,1
70,4,15,2,3,0,4,1,40,0,1
70,4,12,2,3,0,4,1,8,0,1
73,2,9,2,9,0,4,1,40,0,1
72,4,14,2,9,0,4,1,28,0,1
31,2,11,5,6,4,4,0,40,0,0
28,2,0,6,0,4,4,0,35,0,0
23,4,9,4,0,3,4,1,40,0,1
49,1,6,6,5,4,4,1,40,0,1
27,1,15,4,10,1,4,1,40,0,1
90,2,11,4,7,1,2,1,40,0,0
68,2,11,6,0,1,4,0,30,0,0
65,2,11,0,0,4,4,0,59,1,0
67,2,9,0,3,1,4,0,5,0,0
66,1,9,6,9,1,2,0,25,0,0
24,2,15,4,0,1,4,1,24,0,0
44,4,15,0,6,1,4,1,35,0,0
35,2,15,4,0,3,4,0,40,0,0
20,2,7,4,7,3,4,0,18,0,0
38,2,11,0,2,1,4,1,40,0,0
39,2,15,4,7,3,2,0,40,0,0
32,2,15,4,6,2,4,0,40,1,0
42,2,5,4,5,1,2,1,40,0,0
42,3,12,0,3,4,1,1,60,1,1
64,2,1,2,2,0,4,1,40,0,0
28,2,5,2,5,0,3,1,40,1,0
41,3,8,2,11,0,3,1,84,1,0
41,4,5,2,2,0,4,1,40,0,0
58,4,3,2,13,0,4,1,18,0,0
59,5,15,2,3,0,4,1,40,0,0
34,4,11,2,4,5,4,0,12,0,0
45,2,11,2,13,0,4,1,45,0,0
29,2,11,2,0,5,4,0,40,0,0
47,2,0,2,11,0,4,1,52,0,0
40,2,15,2,6,0,4,1,40,0,0
47,4,4,2,11,0,4,1,50,1,0
41,4,11,2,5,0,4,1,40,0,0
34,2,15,2,13,0,2,1,40,0,0
65,4,15,2,3,0,4,1,10,0,1
70,2,11,2,5,0,4,1,40,0,1
75,4,14,2,9,0,4,1,50,0,1
65,5,11,2,0,0,4,1,40,0,1
65,0,15,2,3,0,2,1,40,0,1
73,2,15,2,9,0,4,1,50,0,1
68,4,8,2,9,0,4,1,40,0,0
74,4,11,2,11,0,4,1,20,0,0
19,4,1,2,2,3,4,1,55,0,0
37,4,11,2,2,0,4,1,40,0,0
45,0,7,0,0,4,1,1,40,1,0
64,2,12,2,9,0,1,1,60,1,0
30,2,11,2,13,0,4,1,40,0,0
51,4,15,2,9,5,4,0,60,1,0
35,2,1,2,2,0,4,1,40,0,0
29,2,11,2,0,5,4,0,20,0,0
34,2,15,2,0,5,4,0,40,0,0
41,2,11,2,2,0,4,1,60,0,0
35,2,15,2,2,0,4,1,45,0,0
26,2,15,2,0,0,4,1,40,0,0
54,2,11,2,13,0,4,1,50,0,0
52,1,11,2,2,0,4,1,40,0,0
50,4,11,2,4,0,4,1,20,0,0
31,2,15,2,0,0,4,1,40,0,0
38,0,11,2,13,0,4,1,40,0,0
30,2,15,2,2,0,4,1,40,0,0
34,1,9,2,9,0,4,1,40,0,0
31,2,15,2,11,0,4,1,57,0,0
52,2,11,2,6,0,4,1,38,0,0
54,2,11,2,2,0,4,1,40,0,0
38,2,11,2,2,0,4,1,44,0,0
39,2,11,2,6,0,4,1,40,0,0
29,2,8,2,12,0,4,1,40,0,0
45,2,11,2,2,0,4,1,40,0,0
34,2,11,2,13,0,4,1,55,0,0
38,2,11,2,2,0,4,1,40,1,0
39,2,0,2,2,0,4,1,40,0,0
61,2,11,2,2,0,4,1,20,0,0
43,2,1,2,13,0,4,1,40,0,0
35,2,15,2,5,0,4,1,40,0,0
46,2,15,2,11,0,4,1,50,0,0
38,2,11,2,5,0,4,1,40,0,0
42,4,11,2,2,0,4,1,48,0,0
34,2,7,2,12,0,4,1,10,0,0
29,2,5,2,4,0,4,1,40,0,0
32,2,1,2,2,0,4,1,30,0,0
60,2,11,2,10,0,4,1,34,0,0
49,1,11,2,2,0,4,1,40,0,0
53,1,11,2,7,0,4,1,45,0,0
56,2,5,2,5,0,4,1,40,0,0
48,2,1,2,13,0,4,1,40,0,0
32,0,9,2,9,0,1,1,40,1,0
42,4,11,2,2,0,4,1,40,0,0
32,2,7,2,9,0,4,1,42,0,0
28,1,7,2,10,0,4,1,40,1,0
26,2,8,2,2,0,4,1,40,0,0
59,2,9,2,3,0,4,1,50,0,0
47,4,9,2,9,0,4,1,30,0,0
41,2,11,2,2,0,4,1,60,0,0
36,2,11,2,2,3,4,0,40,0,0
45,2,9,2,11,0,4,1,55,0,0
30,2,7,2,9,0,4,1,40,0,0
36,2,11,2,13,0,4,1,40,0,0
34,3,11,2,3,0,4,1,40,0,0
53,2,11,2,13,0,4,1,40,0,0
51,2,11,2,11,0,4,1,45,0,0
47,4,10,2,13,0,4,1,45,0,0
30,2,11,4,0,4,4,1,42,0,0
20,2,11,4,7,4,4,1,40,0,0
42,0,12,0,0,1,4,1,60,0,0
31,2,1,4,2,1,4,1,40,0,0
33,2,9,4,5,1,4,1,40,0,0
25,2,7,4,12,1,4,0,30,0,0
20,2,11,4,7,1,4,1,40,0,0
23,2,11,4,0,3,2,1,40,0,0
41,4,15,0,2,1,4,1,50,0,0
54,4,11,6,2,1,4,1,35,0,0
25,2,11,4,2,1,4,1,50,0,0
19,2,15,4,0,3,4,0,40,0,0
24,2,11,4,0,1,4,0,37,0,0
56,0,9,4,13,1,2,1,65,0,0
21,1,15,4,7,1,4,0,40,0,0
34,2,11,4,6,1,2,1,40,0,0
19,2,11,4,0,3,4,1,40,0,0
48,2,11,5,0,1,4,0,40,0,0
34,2,9,4,7,1,4,1,40,0,0
31,2,11,4,4,1,4,1,40,0,0
36,2,11,4,7,1,2,0,40,0,0
27,2,11,4,7,1,4,1,40,0,0
27,2,15,4,2,3,1,1,40,1,0
35,2,9,0,11,1,4,0,65,0,0
31,4,9,3,3,1,4,1,60,0,0
27,0,11,4,2,1,2,1,40,0,0
28,1,7,4,0,1,4,0,40,0,0
42,2,11,0,13,1,4,1,46,0,0
44,2,15,5,3,1,4,1,45,1,0
41,2,9,0,11,1,4,1,56,0,0
28,2,9,4,12,1,4,0,35,0,0
41,0,11,4,0,1,4,0,40,0,0
35,2,0,6,7,1,2,0,40,0,0
58,2,12,0,0,1,4,0,45,0,0
40,2,11,0,6,1,4,1,48,0,0
31,2,8,4,13,3,4,1,60,0,0
30,2,11,4,11,1,4,0,40,0,0
32,2,15,5,12,1,0,1,40,0,0
25,2,15,4,0,1,4,1,40,0,0
34,2,11,4,13,3,4,1,40,0,0
56,2,15,0,3,1,4,0,40,0,0
45,2,11,0,7,1,4,1,40,0,0
50,2,11,4,0,1,4,1,40,0,0
27,2,0,4,11,2,4,1,40,0,0
51,2,15,2,11,0,4,1,40,0,1
40,2,7,2,12,0,4,1,60,0,1
41,2,12,2,3,0,4,1,65,0,1
49,2,12,2,3,0,4,1,45,0,1
37,2,8,2,2,0,4,1,40,0,1
36,3,9,2,3,5,4,0,45,0,1
35,2,14,2,9,0,4,1,80,0,1
29,3,11,2,11,5,4,0,25,0,1
50,2,9,2,9,5,4,0,40,0,1
46,2,9,2,11,0,4,1,40,0,1
44,4,11,2,3,0,4,1,45,0,1
42,1,12,2,3,0,4,1,40,0,1
38,0,14,2,9,0,4,1,50,0,1
45,2,9,2,3,0,4,1,55,0,1
43,1,12,2,3,0,4,1,60,0,1
47,3,14,2,9,0,4,1,60,0,1
58,3,14,2,9,0,4,1,50,0,1
48,2,14,2,12,0,4,1,40,0,1
42,1,9,2,3,0,4,1,48,0,1
55,2,12,2,3,0,4,1,50,0,1
51,2,0,2,11,0,4,1,40,0,1
32,2,12,2,3,0,2,1,40,0,1
45,1,9,2,3,0,4,1,50,0,1
56,2,12,2,2,0,4,1,44,0,1
38,2,12,2,3,0,4,1,60,0,1
45,2,8,2,11,0,4,1,50,0,1
49,2,12,2,9,5,4,0,40,0,1
36,2,11,2,9,0,4,1,40,0,1
49,2,12,2,3,0,4,1,40,0,1
30,2,10,2,9,0,1,1,40,1,1
42,3,14,2,9,0,4,1,50,0,1
55,2,12,2,3,0,4,1,40,0,1
34,2,9,2,3,0,4,1,45,0,1
54,2,10,2,9,0,4,1,50,0,1
42,4,9,2,3,0,4,1,70,0,1
25,1,9,2,9,0,4,1,40,0,1
55,3,11,2,3,0,4,1,45,0,1
58,5,12,2,9,0,4,1,50,0,1
62,2,11,2,13,0,4,1,60,0,1
43,3,14,2,9,0,4,1,40,0,1
57,1,12,2,9,5,2,0,40,0,1
42,3,10,2,9,0,4,1,60,0,1
63,4,9,2,9,0,1,1,32,1,1
47,4,14,2,9,0,4,1,50,0,1
37,2,9,2,3,0,4,1,50,0,1
40,2,9,2,11,0,4,1,60,0,1
43,2,9,2,9,0,4,1,50,0,1
43,5,14,2,9,0,4,1,70,0,1
41,4,14,2,9,0,4,1,60,0,1
32,2,14,2,9,0,4,1,60,0,1
47,2,9,2,11,0,4,1,40,0,1
39,0,15,2,5,0,4,1,60,0,1
53,2,15,2,3,0,4,1,40,0,1
34,2,9,2,3,0,4,1,45,0,1
36,2,9,2,3,0,4,1,40,0,1
47,1,12,2,3,0,4,1,41,0,1
52,2,8,2,3,0,4,1,45,0,1
40,4,14,2,9,0,0,1,60,0,1
42,3,9,2,9,0,4,1,40,0,1
51,2,12,2,10,0,4,1,40,0,1
55,2,12,2,12,0,4,1,20,0,1
38,2,11,2,11,0,4,1,99,0,1
52,2,15,2,3,0,4,1,50,0,1
60,0,11,2,12,0,4,1,40,0,1
55,2,8,2,9,0,4,1,50,1,1
47,1,12,2,3,0,2,1,50,0,1
46,2,12,2,12,0,4,1,40,0,1
35,2,12,2,9,0,4,1,45,0,1
59,3,9,2,3,0,4,1,50,0,1
57,2,12,2,9,0,4,1,45,0,1
46,2,15,2,9,0,4,1,50,0,1
46,0,12,2,3,0,4,1,40,0,1
52,2,11,2,2,0,4,1,40,0,1
45,2,10,2,9,5,4,0,30,0,1
37,2,9,2,12,0,4,1,40,0,1
46,2,12,2,3,0,4,1,45,0,1
44,2,9,2,9,0,2,1,50,0,1
45,2,8,2,3,0,4,1,50,0,1
43,2,11,2,6,0,4,1,52,0,1
54,1,12,2,9,0,4,1,40,0,1
50,2,12,2,9,0,4,1,40,0,1
45,2,9,2,9,0,4,1,40,0,1
36,2,12,2,9,0,4,1,60,0,1
27,2,9,2,3,0,4,1,50,0,1
36,2,9,2,11,0,4,1,35,0,1
53,2,12,2,3,0,4,1,55,0,1
51,1,12,2,9,0,4,1,35,0,1
28,2,9,2,9,5,4,0,24,0,1
47,4,15,2,2,0,4,1,40,0,1
45,2,9,2,3,0,4,1,60,0,1
45,1,12,2,9,5,4,0,35,0,1
39,4,14,2,9,0,4,1,50,0,1
39,2,9,2,3,0,4,1,40,0,1
55,4,12,2,9,0,4,1,40,0,1
62,2,15,2,3,0,4,1,98,0,1
49,2,9,2,11,0,1,1,50,1,1
53,4,12,2,3,0,4,1,40,0,1
31,2,12,2,3,0,4,1,48,0,1
42,3,11,2,3,0,4,1,60,1,1
39,2,9,2,13,0,4,1,45,1,1
60,4,9,2,3,0,4,1,45,0,1
26,2,14,2,9,0,4,1,40,0,1
37,2,12,2,3,0,4,1,40,0,1
45,5,9,2,3,0,4,1,60,0,1
37,2,7,2,11,0,4,1,45,0,1
32,2,9,2,11,0,4,1,45,0,1
39,3,11,2,3,0,4,1,40,0,1
45,2,12,2,3,0,4,1,43,0,1
41,2,9,2,9,0,4,1,45,0,1
36,4,11,2,4,0,4,1,65,0,1
51,5,12,2,9,0,4,1,60,0,1
39,2,15,2,3,0,4,1,62,0,1
56,4,14,2,9,0,4,1,50,0,1
53,0,11,2,0,0,2,1,40,0,1
40,4,8,2,9,5,4,0,15,0,1
57,2,12,2,3,0,2,1,40,0,1
50,1,11,2,2,0,4,1,35,0,1
34,2,14,2,9,0,4,1,55,0,1
35,2,9,2,3,5,4,0,30,0,1
30,4,11,2,9,0,4,1,15,0,1
53,1,12,2,9,0,4,1,55,0,1
31,5,10,2,9,0,4,1,70,0,1
37,2,9,2,3,0,4,1,60,0,1
34,2,9,2,11,0,4,1,50,0,1
36,2,12,2,9,0,4,1,50,0,1
40,2,9,2,3,0,4,1,50,0,1
51,2,15,2,2,0,4,1,60,0,1
33,2,11,2,11,0,4,1,45,0,1
40,2,10,2,9,5,4,0,20,0,1
46,3,12,2,11,0,4,1,60,0,1
54,2,10,2,3,0,4,1,50,0,1
39,2,12,2,9,5,4,0,24,0,1
54,3,15,2,11,0,4,1,40,0,1
31,2,10,2,9,0,4,1,99,0,1
51,2,12,2,3,0,4,1,50,0,1
36,2,12,2,0,0,4,1,40,1,1
41,3,9,2,3,0,1,1,60,1,1
56,4,15,2,3,5,4,0,50,0,1
38,2,9,2,12,0,4,1,40,0,1
47,2,11,2,2,0,4,1,45,0,1
39,1,12,2,9,0,4,1,45,0,1
59,2,9,2,3,0,4,1,50,0,1
54,2,10,2,3,0,4,1,43,0,1
54,4,9,2,3,5,4,0,35,0,1
31,2,9,2,3,0,4,1,55,0,1
59,3,15,2,3,0,4,1,48,0,1
46,2,12,2,9,0,4,1,50,0,1
57,2,10,2,12,0,4,1,40,1,1
36,2,12,2,9,5,4,0,44,0,1
44,2,9,2,6,0,4,1,40,0,1
33,2,14,2,9,0,4,1,50,0,1
54,2,15,2,12,0,4,1,18,0,1
55,2,12,2,3,0,4,1,60,0,1
36,2,12,2,11,0,4,1,50,0,1
49,1,14,2,9,5,4,0,60,0,1
41,2,14,2,9,0,4,1,50,0,1
40,2,10,2,9,0,1,1,45,1,1
43,2,9,2,3,0,4,1,50,0,1
39,1,12,2,9,5,4,0,20,0,1
48,2,14,2,9,0,4,1,45,0,1
43,2,9,2,3,0,4,1,50,0,1
36,2,9,2,9,0,4,1,45,0,1
39,2,12,4,3,1,4,1,40,0,0
21,2,15,4,9,3,1,1,40,0,0
23,2,15,4,11,1,4,0,40,0,0
47,2,11,0,3,1,4,0,40,0,0
30,2,11,4,0,2,4,0,40,0,0
35,2,15,4,6,1,4,1,40,0,0
26,2,15,4,0,1,4,0,40,0,0
26,2,9,4,3,1,4,1,55,0,0
41,1,12,0,9,1,4,1,40,0,0
30,1,15,4,10,1,2,1,40,0,0
28,2,11,5,2,1,4,1,40,0,0
56,2,11,6,11,1,4,0,40,0,0
35,2,11,4,6,3,4,1,40,0,0
34,2,8,4,12,1,4,0,40,0,0
29,2,11,4,2,1,4,1,35,0,0
23,2,7,4,0,3,4,0,20,0,0
24,0,11,4,0,1,4,0,40,0,0
62,2,15,0,0,1,4,1,40,0,0
77,4,15,6,0,1,4,0,1,0,0
47,2,14,2,9,5,4,0,60,1,1
48,4,10,2,9,0,4,1,60,0,1
42,4,14,2,9,0,4,1,50,0,1
31,2,12,2,12,0,4,1,40,0,1
43,2,9,2,3,0,4,1,40,1,1
50,2,10,2,9,0,4,1,65,0,1
36,2,9,2,9,0,4,1,50,0,1
49,1,12,2,9,0,4,1,40,0,1
38,2,11,2,2,0,4,1,40,0,1
48,5,10,2,9,5,4,0,46,0,1
46,2,9,2,9,0,4,1,40,0,1
56,4,11,2,7,0,4,1,60,0,1
37,2,11,2,3,0,4,1,45,0,1
51,2,11,2,6,0,2,1,40,0,1
43,2,12,2,3,0,4,1,40,0,1
46,1,11,2,2,0,4,1,40,0,0
42,1,12,2,3,0,4,1,60,0,1
45,2,15,2,0,5,4,0,35,0,1
23,2,15,2,6,0,4,1,40,0,0
45,2,9,2,11,0,4,1,40,0,1
30,5,11,2,0,0,4,1,40,0,0
49,2,7,2,11,5,4,0,40,0,1
57,2,14,2,2,0,1,1,40,1,1
42,4,9,2,4,0,4,1,80,0,1
43,1,15,2,0,5,4,0,40,0,1
43,2,15,2,3,0,4,1,40,0,1
42,2,14,2,9,0,4,1,60,0,1
53,2,9,2,3,0,4,1,55,0,1
40,1,12,2,9,0,4,1,48,0,1
41,2,9,2,3,0,4,1,60,0,1
49,2,9,2,2,0,4,1,40,0,1
31,4,9,2,9,0,4,1,50,1,1
34,2,12,2,3,0,4,1,50,0,1
40,0,12,2,12,0,1,1,40,1,1
50,2,15,2,0,5,4,0,38,0,1
54,2,11,2,2,0,1,1,40,0,1
49,2,15,2,0,0,4,1,50,0,1
44,4,12,2,3,5,4,0,60,0,1
57,1,9,2,9,0,4,1,40,0,1
28,1,12,2,9,5,4,0,55,0,0
57,2,15,2,11,0,4,1,40,0,1
59,2,9,2,9,0,4,1,43,0,1
38,2,7,2,3,5,4,0,40,0,1
36,4,11,2,4,0,4,1,60,0,1
55,2,15,2,3,0,4,1,40,0,1
34,4,11,2,11,0,4,1,60,0,1
51,2,15,2,11,0,4,1,50,0,1
46,2,11,2,13,0,4,1,70,1,1
33,2,12,2,3,0,4,1,45,1,1
31,5,9,2,9,5,4,0,35,0,1
31,2,9,2,3,5,4,0,35,0,1
59,4,11,2,3,0,4,1,52,0,1
48,2,7,2,11,0,4,1,40,0,1
33,2,9,2,3,0,4,1,45,0,1
46,2,15,2,2,0,4,1,50,0,1
53,2,9,2,3,0,2,1,40,0,1
39,2,12,2,9,5,4,0,18,0,1
44,4,11,2,9,0,4,1,40,0,1
45,2,12,2,3,0,4,1,50,0,1
42,1,9,2,10,0,4,1,40,0,1
24,4,5,2,13,0,4,1,40,0,1
57,2,9,2,11,0,4,1,40,0,1
51,1,9,2,9,0,4,1,40,0,1
50,2,9,2,3,0,4,1,40,0,1
52,2,12,2,3,0,4,1,50,1,1
44,2,15,2,11,0,1,1,40,0,1
47,3,9,2,3,0,4,1,45,0,1
36,2,9,2,11,0,4,1,45,0,1
34,2,15,2,9,0,4,1,38,0,1
49,2,9,2,3,0,4,1,50,0,1
45,2,9,2,11,0,4,1,45,0,1
46,2,9,2,3,0,4,1,50,0,1
53,3,9,2,3,0,4,1,48,0,1
63,5,10,2,3,0,4,1,50,0,1
52,2,9,2,9,0,4,1,40,0,1
44,2,9,2,3,0,2,1,40,0,1
37,2,9,2,11,0,4,1,40,0,1
44,5,10,2,9,0,4,1,40,0,1
53,2,9,2,9,0,4,1,40,0,1
32,2,9,2,12,0,4,1,40,0,1
50,5,10,2,9,0,4,1,45,0,1
42,0,12,2,9,0,1,1,40,1,1
50,2,7,2,2,0,4,1,40,0,1
33,2,9,2,11,0,4,1,55,0,1
50,1,12,2,9,5,4,0,40,0,1
32,2,9,2,9,5,4,0,32,0,1
41,2,11,2,9,0,4,1,40,0,1
54,2,11,2,3,0,4,1,55,0,1
34,2,7,2,11,0,2,1,50,0,1
41,3,9,2,3,0,4,1,55,0,1
39,3,14,2,9,0,4,1,50,0,1
42,0,12,2,9,0,4,1,40,0,1
31,2,9,2,11,0,4,1,45,0,1
45,2,8,2,9,0,4,1,42,0,1
41,2,9,2,12,0,4,1,42,0,1
48,2,12,2,3,5,4,0,38,0,1
32,3,11,2,4,0,4,1,55,0,1
41,2,15,2,6,0,2,1,40,0,1
31,4,9,2,3,5,4,0,40,0,1
30,3,15,2,3,0,1,1,40,1,1
41,2,15,2,3,5,4,0,40,0,1
48,2,12,2,9,0,4,1,40,0,1
60,5,10,2,9,0,4,1,40,0,1
38,4,9,2,3,0,1,1,65,0,1
46,2,4,2,13,0,0,1,40,0,0
28,2,15,2,11,0,4,1,55,0,1
64,3,10,2,3,0,4,1,60,0,1
42,2,12,2,9,0,4,1,50,0,1
43,2,8,2,12,5,4,0,32,0,1
61,3,15,2,11,0,4,1,35,0,1
48,2,10,2,9,0,1,1,40,1,1
46,1,12,2,3,0,4,1,45,0,1
44,2,9,2,3,0,4,1,50,0,1
39,0,15,2,3,0,4,1,50,0,1
46,4,9,2,11,0,4,1,40,0,1
48,2,10,2,9,0,4,1,50,0,1
27,2,1,2,2,0,4,1,40,0,1
22,0,15,2,11,0,4,1,37,0,0
51,0,9,2,3,0,4,1,40,0,0
48,5,15,2,10,0,4,1,40,0,1
52,2,8,2,2,0,4,1,40,0,1
31,4,11,2,2,0,4,1,40,0,1
53,2,9,2,0,0,4,1,40,0,1
51,2,12,2,9,0,4,1,60,0,1
46,1,10,2,9,5,4,0,52,0,1
25,2,15,2,0,0,2,1,36,0,1
46,2,11,2,2,0,2,1,40,0,1
57,3,11,2,11,0,4,1,30,0,1
44,2,9,2,9,0,4,1,50,0,1
42,2,11,2,13,0,4,1,50,0,1
42,2,12,2,0,0,4,1,40,0,1
30,2,9,2,9,0,4,1,55,0,1
54,5,10,2,3,0,4,1,50,0,1
