income,hours.per.week,age,education,workclass,occupation,native.country
0,40,42,11,2,0,1
0,40,28,14,2,9,1
0,35,40,14,4,7,0
1,40,69,9,2,9,0
0,40,66,11,1,2,0
0,40,69,4,2,6,0
0,40,55,12,1,9,0
0,40,57,11,0,0,0
0,10,20,15,4,4,0
0,84,33,11,2,2,0
0,40,30,15,4,11,1
0,48,40,9,2,12,1
1,55,38,15,2,6,0
1,38,46,7,5,0,0
1,45,29,9,2,3,0
0,40,57,9,0,0,0
1,42,39,11,2,2,0
1,40,47,9,2,3,0
1,45,26,9,2,3,0
0,50,27,11,4,2,0
1,40,23,9,2,9,0
0,50,34,12,2,9,0
0,42,33,2,2,2,0
0,60,38,12,1,9,0
1,38,57,15,2,0,0
0,70,36,11,2,3,0
1,40,44,9,0,12,0
1,50,49,10,5,3,0
0,60,44,15,3,11,0
1,62,55,15,2,4,0
1,44,45,11,2,4,0
1,40,48,11,2,3,0
1,45,31,9,2,3,0
1,40,55,11,1,9,0
1,40,70,15,4,3,0
1,8,70,12,4,3,0
1,40,73,9,2,9,0
1,28,72,14,4,9,0
0,40,31,11,2,6,0
0,35,28,0,2,0,0
1,40,23,9,4,0,0
1,40,49,6,1,5,0
1,40,27,15,1,10,0
0,40,90,11,2,7,0
0,30,68,11,2,0,0
0,59,65,11,2,0,1
0,5,67,9,2,3,0
0,25,66,9,1,9,0
0,24,24,15,2,0,0
0,35,44,15,4,6,0
0,40,35,15,2,0,0
0,18,20,7,2,7,0
0,40,38,11,2,2,0
0,40,39,15,2,7,0
0,40,32,15,2,6,1
0,40,42,5,2,5,0
1,60,42,12,3,3,1
0,40,64,1,2,2,0
0,40,28,5,2,5,1
0,84,41,8,3,11,1
0,40,41,5,4,2,0
0,18,58,3,4,13,0
0,40,59,15,5,3,0
0,12,34,11,4,4,0
0,45,45,11,2,13,0
0,40,29,11,2,0,0
0,52,47,0,2,11,0
0,40,40,15,2,6,0
0,50,47,4,4,11,1
0,40,41,11,4,5,0
0,40,34,15,2,13,0
1,10,65,15,4,3,0
1,40,70,11,2,5,0
1,50,75,14,4,9,0
1,40,65,11,5,0,0
1,40,65,15,0,3,0
1,50,73,15,2,9,0
0,40,68,8,4,9,0
0,20,74,11,4,11,0
0,55,19,1,4,2,0
0,40,37,11,4,2,0
0,40,45,7,0,0,1
0,60,64,12,2,9,1
0,40,30,11,2,13,0
0,60,51,15,4,9,1
0,40,35,1,2,2,0
0,20,29,11,2,0,0
0,40,34,15,2,0,0
0,60,41,11,2,2,0
0,45,35,15,2,2,0
0,40,26,15,2,0,0
0,50,54,11,2,13,0
0,40,52,11,1,2,0
0,20,50,11,4,4,0
0,40,31,15,2,0,0
0,40,38,11,0,13,0
0,40,30,15,2,2,0
0,40,34,9,1,9,0
0,57,31,15,2,11,0
0,38,52,11,2,6,0
0,40,54,11,2,2,0
0,44,38,11,2,2,0
0,40,39,11,2,6,0
0,40,29,8,2,12,0
0,40,45,11,2,2,0
0,55,34,11,2,13,0
0,40,38,11,2,2,1
0,40,39,0,2,2,0
0,20,61,11,2,2,0
0,40,43,1,2,13,0
0,40,35,15,2,5,0
0,50,46,15,2,11,0
0,40,38,11,2,5,0
0,48,42,11,4,2,0
0,10,34,7,2,12,0
0,40,29,5,2,4,0
0,30,32,1,2,2,0
0,34,60,11,2,10,0
0,40,49,11,1,2,0
0,45,53,11,1,7,0
0,40,56,5,2,5,0
0,40,48,1,2,13,0
0,40,32,9,0,9,1
0,40,42,11,4,2,0
0,42,32,7,2,9,0
0,40,28,7,1,10,1
0,40,26,8,2,2,0
0,50,59,9,2,3,0
0,30,47,9,4,9,0
0,60,41,11,2,2,0
0,40,36,11,2,2,0
0,55,45,9,2,11,0
0,40,30,7,2,9,0
0,40,36,11,2,13,0
0,40,34,11,3,3,0
0,40,53,11,2,13,0
0,45,51,11,2,11,0
0,45,47,10,4,13,0
0,42,30,11,2,0,0
0,40,20,11,2,7,0
0,60,42,12,0,0,0
0,40,31,1,2,2,0
0,40,33,9,2,5,0
0,30,25,7,2,12,0
0,40,20,11,2,7,0
0,40,23,11,2,0,0
0,50,41,15,4,2,0
0,35,54,11,4,2,0
0,50,25,11,2,2,0
0,40,19,15,2,0,0
0,37,24,11,2,0,0
0,65,56,9,0,13,0
0,40,21,15,1,7,0
0,40,34,11,2,6,0
0,40,19,11,2,0,0
0,40,48,11,2,0,0
0,40,34,9,2,7,0
0,40,31,11,2,4,0
0,40,36,11,2,7,0
0,40,27,11,2,7,0
0,40,27,15,2,2,1
0,65,35,9,2,11,0
0,60,31,9,4,3,0
0,40,27,11,0,2,0
0,40,28,7,1,0,0
0,46,42,11,2,13,0
0,45,44,15,2,3,1
0,56,41,9,2,11,0
0,35,28,9,2,12,0
0,40,41,11,0,0,0
0,40,35,0,2,7,0
0,45,58,12,2,0,0
0,48,40,11,2,6,0
0,60,31,8,2,13,0
0,40,30,11,2,11,0
0,40,32,15,2,12,0
0,40,25,15,2,0,0
0,40,34,11,2,13,0
0,40,56,15,2,3,0
0,40,45,11,2,7,0
0,40,50,11,2,0,0
0,40,27,0,2,11,0
1,40,51,15,2,11,0
1,60,40,7,2,12,0
1,65,41,12,2,3,0
1,45,49,12,2,3,0
1,40,37,8,2,2,0
1,45,36,9,3,3,0
1,80,35,14,2,9,0
1,25,29,11,3,11,0
1,40,50,9,2,9,0
1,40,46,9,2,11,0
1,45,44,11,4,3,0
1,40,42,12,1,3,0
1,50,38,14,0,9,0
1,55,45,9,2,3,0
1,60,43,12,1,3,0
1,60,47,14,3,9,0
1,50,58,14,3,9,0
1,40,48,14,2,12,0
1,48,42,9,1,3,0
1,50,55,12,2,3,0
1,40,51,0,2,11,0
1,40,32,12,2,3,0
1,50,45,9,1,3,0
1,44,56,12,2,2,0
1,60,38,12,2,3,0
1,50,45,8,2,11,0
1,40,49,12,2,9,0
1,40,36,11,2,9,0
1,40,49,12,2,3,0
1,40,30,10,2,9,1
1,50,42,14,3,9,0
1,40,55,12,2,3,0
1,45,34,9,2,3,0
1,50,54,10,2,9,0
1,70,42,9,4,3,0
1,40,25,9,1,9,0
1,45,55,11,3,3,0
1,50,58,12,5,9,0
1,60,62,11,2,13,0
1,40,43,14,3,9,0
1,40,57,12,1,9,0
1,60,42,10,3,9,0
1,32,63,9,4,9,1
1,50,47,14,4,9,0
1,50,37,9,2,3,0
1,60,40,9,2,11,0
1,50,43,9,2,9,0
1,70,43,14,5,9,0
1,60,41,14,4,9,0
1,60,32,14,2,9,0
1,40,47,9,2,11,0
1,60,39,15,0,5,0
1,40,53,15,2,3,0
1,45,34,9,2,3,0
1,40,36,9,2,3,0
1,41,47,12,1,3,0
1,45,52,8,2,3,0
1,60,40,14,4,9,0
1,40,42,9,3,9,0
1,40,51,12,2,10,0
1,20,55,12,2,12,0
1,99,38,11,2,11,0
1,50,52,15,2,3,0
1,40,60,11,0,12,0
1,50,55,8,2,9,1
1,50,47,12,1,3,0
1,40,46,12,2,12,0
1,45,35,12,2,9,0
1,50,59,9,3,3,0
1,45,57,12,2,9,0
1,50,46,15,2,9,0
1,40,46,12,0,3,0
1,40,52,11,2,2,0
1,30,45,10,2,9,0
1,40,37,9,2,12,0
1,45,46,12,2,3,0
1,50,44,9,2,9,0
1,50,45,8,2,3,0
1,52,43,11,2,6,0
1,40,54,12,1,9,0
1,40,50,12,2,9,0
1,40,45,9,2,9,0
1,60,36,12,2,9,0
1,50,27,9,2,3,0
1,35,36,9,2,11,0
1,55,53,12,2,3,0
1,35,51,12,1,9,0
1,24,28,9,2,9,0
1,40,47,15,4,2,0
1,60,45,9,2,3,0
1,35,45,12,1,9,0
1,50,39,14,4,9,0
1,40,39,9,2,3,0
1,40,55,12,4,9,0
1,98,62,15,2,3,0
1,50,49,9,2,11,1
1,40,53,12,4,3,0
1,48,31,12,2,3,0
1,60,42,11,3,3,1
1,45,39,9,2,13,1
1,45,60,9,4,3,0
1,40,26,14,2,9,0
1,40,37,12,2,3,0
1,60,45,9,5,3,0
1,45,37,7,2,11,0
1,45,32,9,2,11,0
1,40,39,11,3,3,0
1,43,45,12,2,3,0
1,45,41,9,2,9,0
1,65,36,11,4,4,0
1,60,51,12,5,9,0
1,62,39,15,2,3,0
1,50,56,14,4,9,0
1,40,53,11,0,0,0
1,15,40,8,4,9,0
1,40,57,12,2,3,0
1,35,50,11,1,2,0
1,55,34,14,2,9,0
1,30,35,9,2,3,0
1,15,30,11,4,9,0
1,55,53,12,1,9,0
1,70,31,10,5,9,0
1,60,37,9,2,3,0
1,50,34,9,2,11,0
1,50,36,12,2,9,0
1,50,40,9,2,3,0
1,60,51,15,2,2,0
1,45,33,11,2,11,0
1,20,40,10,2,9,0
1,60,46,12,3,11,0
1,50,54,10,2,3,0
1,24,39,12,2,9,0
1,40,54,15,3,11,0
1,99,31,10,2,9,0
1,50,51,12,2,3,0
1,40,36,12,2,0,1
1,60,41,9,3,3,1
1,50,56,15,4,3,0
1,40,38,9,2,12,0
1,45,47,11,2,2,0
1,45,39,12,1,9,0
1,50,59,9,2,3,0
1,43,54,10,2,3,0
1,35,54,9,4,3,0
1,55,31,9,2,3,0
1,48,59,15,3,3,0
1,50,46,12,2,9,0
1,40,57,10,2,12,1
1,44,36,12,2,9,0
1,40,44,9,2,6,0
1,50,33,14,2,9,0
1,18,54,15,2,12,0
1,60,55,12,2,3,0
1,50,36,12,2,11,0
1,60,49,14,1,9,0
1,50,41,14,2,9,0
1,45,40,10,2,9,1
1,50,43,9,2,3,0
1,20,39,12,1,9,0
1,45,48,14,2,9,0
1,50,43,9,2,3,0
1,45,36,9,2,9,0
0,40,39,12,2,3,0
0,40,21,15,2,9,0
0,40,23,15,2,11,0
0,40,47,11,2,3,0
0,40,30,11,2,0,0
0,40,35,15,2,6,0
0,40,26,15,2,0,0
0,55,26,9,2,3,0
0,40,41,12,1,9,0
0,40,30,15,1,10,0
0,40,28,11,2,2,0
0,40,56,11,2,11,0
0,40,35,11,2,6,0
0,40,34,8,2,12,0
0,35,29,11,2,2,0
0,20,23,7,2,0,0
0,40,24,11,0,0,0
0,40,62,15,2,0,0
0,1,77,15,4,0,0
1,60,47,14,2,9,1
1,60,48,10,4,9,0
1,50,42,14,4,9,0
1,40,31,12,2,12,0
1,40,43,9,2,3,1
1,65,50,10,2,9,0
1,50,36,9,2,9,0
1,40,49,12,1,9,0
1,40,38,11,2,2,0
1,46,48,10,5,9,0
1,40,46,9,2,9,0
1,60,56,11,4,7,0
1,45,37,11,2,3,0
1,40,51,11,2,6,0
1,40,43,12,2,3,0
0,40,46,11,1,2,0
1,60,42,12,1,3,0
1,35,45,15,2,0,0
0,40,23,15,2,6,0
1,40,45,9,2,11,0
0,40,30,11,5,0,0
1,40,49,7,2,11,0
1,40,57,14,2,2,1
1,80,42,9,4,4,0
1,40,43,15,1,0,0
1,40,43,15,2,3,0
1,60,42,14,2,9,0
1,55,53,9,2,3,0
1,48,40,12,1,9,0
1,60,41,9,2,3,0
1,40,49,9,2,2,0
1,50,31,9,4,9,1
1,50,34,12,2,3,0
1,40,40,12,0,12,1
1,38,50,15,2,0,0
1,40,54,11,2,2,0
1,50,49,15,2,0,0
1,60,44,12,4,3,0
1,40,57,9,1,9,0
0,55,28,12,1,9,0
1,40,57,15,2,11,0
1,43,59,9,2,9,0
1,40,38,7,2,3,0
1,60,36,11,4,4,0
1,40,55,15,2,3,0
1,60,34,11,4,11,0
1,50,51,15,2,11,0
1,70,46,11,2,13,1
1,45,33,12,2,3,1
1,35,31,9,5,9,0
1,35,31,9,2,3,0
1,52,59,11,4,3,0
1,40,48,7,2,11,0
1,45,33,9,2,3,0
1,50,46,15,2,2,0
1,40,53,9,2,3,0
1,18,39,12,2,9,0
1,40,44,11,4,9,0
1,50,45,12,2,3,0
1,40,42,9,1,10,0
1,40,24,5,4,13,0
1,40,57,9,2,11,0
1,40,51,9,1,9,0
1,40,50,9,2,3,0
1,50,52,12,2,3,1
1,40,44,15,2,11,0
1,45,47,9,3,3,0
1,45,36,9,2,11,0
1,38,34,15,2,9,0
1,50,49,9,2,3,0
1,45,45,9,2,11,0
1,50,46,9,2,3,0
1,48,53,9,3,3,0
1,50,63,10,5,3,0
1,40,52,9,2,9,0
1,40,44,9,2,3,0
1,40,37,9,2,11,0
1,40,44,10,5,9,0
1,40,53,9,2,9,0
1,40,32,9,2,12,0
1,45,50,10,5,9,0
1,40,42,12,0,9,1
1,40,50,7,2,2,0
1,55,33,9,2,11,0
1,40,50,12,1,9,0
1,32,32,9,2,9,0
1,40,41,11,2,9,0
1,55,54,11,2,3,0
1,50,34,7,2,11,0
1,55,41,9,3,3,0
1,50,39,14,3,9,0
1,40,42,12,0,9,0
1,45,31,9,2,11,0
1,42,45,8,2,9,0
1,42,41,9,2,12,0
1,38,48,12,2,3,0
1,55,32,11,3,4,0
1,40,41,15,2,6,0
1,40,31,9,4,3,0
1,40,30,15,3,3,1
1,40,41,15,2,3,0
1,40,48,12,2,9,0
1,40,60,10,5,9,0
1,65,38,9,4,3,0
0,40,46,4,2,13,0
1,55,28,15,2,11,0
1,60,64,10,3,3,0
1,50,42,12,2,9,0
1,32,43,8,2,12,0
1,35,61,15,3,11,0
1,40,48,10,2,9,1
1,45,46,12,1,3,0
1,50,44,9,2,3,0
1,50,39,15,0,3,0
1,40,46,9,4,11,0
1,50,48,10,2,9,0
1,40,27,1,2,2,0
0,37,22,15,0,11,0
0,40,51,9,0,3,0
1,40,48,15,5,10,0
1,40,52,8,2,2,0
1,40,31,11,4,2,0
1,40,53,9,2,0,0
1,60,51,12,2,9,0
1,52,46,10,1,9,0
1,36,25,15,2,0,0
1,40,46,11,2,2,0
1,30,57,11,3,11,0
1,50,44,9,2,9,0
1,50,42,11,2,13,0
1,40,42,12,2,0,0
1,55,30,9,2,9,0
1,50,54,10,5,3,0
1,45,46,14,4,9,0
1,50,33,9,2,0,0
1,50,38,15,2,3,0
1,45,50,12,2,2,0
1,40,46,1,2,2,0
1,35,41,12,4,11,0
1,65,56,9,2,9,0
1,50,39,9,2,9,0
1,50,46,10,4,9,0
0,40,48,5,1,13,0
1,40,35,10,2,9,1
1,60,56,15,2,2,0
1,60,49,11,3,3,0
1,40,61,14,5,9,0
1,40,43,11,2,2,0
0,50,37,11,2,2,0
1,40,43,9,2,6,0
1,40,41,11,2,11,0
1,40,30,9,2,0,0
1,40,58,15,2,10,0
1,40,40,11,2,9,0
1,40,44,12,5,3,0
1,32,40,9,2,3,0
0,40,58,11,2,2,0
1,40,48,11,4,2,0
0,40,49,11,2,6,0
1,50,50,9,2,3,0
1,55,43,9,2,11,0
1,40,53,11,2,13,0
1,50,42,10,2,9,0
1,40,56,11,3,11,0
1,56,44,9,2,3,0
1,50,29,9,2,9,0
1,40,35,11,2,11,0
1,40,44,11,2,11,0
1,48,34,9,0,10,0
1,55,42,12,2,9,1
1,40,43,9,2,9,0
0,45,57,8,2,9,0
1,60,32,9,2,3,0
1,45,33,9,2,0,0
1,15,43,15,4,3,0
1,50,32,11,2,11,0
1,48,36,11,2,2,0
1,60,50,11,4,11,0
0,45,27,11,2,13,0
1,40,60,14,2,3,0
1,50,53,12,2,3,0
1,40,61,10,5,9,0
1,40,32,9,2,11,0
1,60,52,9,3,3,1
1,55,37,11,2,3,0
1,40,33,11,2,12,0
1,40,57,10,4,11,0
1,99,43,11,2,2,0
1,40,50,11,2,3,0
1,40,43,15,2,2,0
1,40,45,11,2,7,0
1,45,37,11,4,11,0
1,43,31,12,2,9,0
1,50,33,7,2,2,0
1,50,56,11,4,7,1
1,50,43,15,2,9,0
1,47,52,0,2,2,0
1,40,38,9,2,9,0
1,40,57,11,2,13,0
1,50,41,15,2,2,0
1,50,37,11,2,3,0
1,40,42,11,2,2,0
1,35,44,12,2,9,0
1,50,39,9,2,3,0
1,40,53,15,0,3,1
1,65,51,15,2,3,0
1,50,38,9,2,3,0
1,40,43,15,1,10,0
1,60,33,7,3,3,0
1,40,43,9,2,11,0
1,45,35,9,2,3,0
1,50,41,15,2,3,0
1,40,45,15,2,2,0
1,40,59,11,2,6,0
1,45,30,12,1,9,0
1,45,32,9,5,10,0
1,60,39,9,0,10,0
1,70,43,9,4,9,0
1,55,32,9,2,3,0
1,40,39,11,1,10,0
1,40,37,9,1,9,0
1,40,34,15,2,3,0
1,45,46,15,2,12,0
1,40,51,10,1,9,0
1,55,29,11,2,11,0
1,40,34,9,2,9,0
1,35,50,15,2,2,0
1,40,34,15,2,5,0
1,40,58,0,2,13,0
1,67,56,4,4,3,0
1,48,34,9,4,9,0
1,40,36,9,1,9,0
1,40,46,11,2,6,0
1,40,50,11,4,3,0
1,45,27,9,3,3,0
1,40,32,7,2,2,1
1,70,44,11,3,3,0
1,46,39,11,2,11,0
1,20,33,11,2,0,0
1,40,59,11,0,2,0
1,55,59,15,2,2,0
1,40,51,15,5,11,0
1,40,37,8,2,2,0
1,40,57,11,2,12,1
1,40,25,8,2,9,0
1,65,54,11,2,13,0
1,40,47,15,1,13,0
1,70,52,10,5,9,1
1,40,40,9,2,9,0
1,60,27,9,2,6,0
1,40,31,9,2,3,0
1,55,41,11,3,11,0
1,45,41,11,2,13,0
1,55,50,11,2,3,0
1,40,36,15,2,6,0
1,40,27,11,2,0,0
1,40,46,15,2,11,0
1,40,61,11,4,3,0
1,40,39,9,1,9,0
1,45,47,11,2,13,0
1,40,45,11,2,6,0
1,40,55,11,5,12,0
1,45,38,1,4,3,0
1,55,57,9,2,11,0
1,40,38,0,4,11,0
1,40,28,9,2,0,0
1,40,40,15,2,5,0
1,50,36,9,2,9,0
1,60,36,11,2,2,0
1,50,30,11,4,3,0
1,42,35,11,2,0,0
1,60,32,11,4,13,0
1,40,55,11,2,5,0
1,30,29,11,2,6,0
1,40,37,7,3,11,0
1,50,36,8,2,3,0
1,50,40,10,5,9,0
1,40,26,12,2,9,0
1,60,44,12,2,9,0
1,40,47,9,2,3,0
1,40,35,12,2,9,0
1,40,58,15,2,11,0
1,55,41,11,3,11,0
1,40,41,11,2,2,0
1,50,38,10,1,3,0
1,40,47,9,4,11,0
1,40,39,11,2,13,0
1,50,42,15,2,11,0
1,40,42,9,2,11,0
1,35,37,8,2,9,0
1,40,41,9,2,9,0
1,40,51,11,2,2,0
1,50,50,9,2,2,0
1,40,43,0,2,6,0
1,70,28,7,2,12,0
1,45,35,7,3,11,0
1,40,59,11,2,3,0
1,40,28,9,2,9,0
1,40,42,14,4,9,0
1,47,51,12,2,3,0
1,44,54,12,2,3,0
1,40,45,11,2,2,0
1,40,38,9,1,9,0
1,40,46,12,0,1,0
1,40,33,15,1,10,0
1,40,36,9,2,3,0
1,50,36,10,1,9,0
1,40,61,15,0,0,0
1,48,30,11,3,2,0
1,36,50,8,2,9,0
1,48,58,8,2,2,0
1,40,43,9,2,6,0
1,68,40,15,2,2,0
1,40,55,11,0,12,0
1,40,52,9,2,3,0
1,55,44,15,4,2,0
1,50,39,14,0,9,0
1,60,45,9,2,11,0
1,40,42,9,4,9,0
1,50,29,15,2,3,0
1,40,46,15,2,13,0
1,40,55,9,2,3,0
1,40,33,14,4,9,0
1,60,44,15,2,13,0
1,47,37,9,2,3,0
1,50,64,7,3,11,0
1,45,43,12,5,9,0
1,35,36,9,2,11,0
1,40,55,9,2,3,0
1,45,34,11,2,3,0
1,48,29,8,2,6,0
1,60,37,15,2,3,1
1,40,42,9,2,0,1
1,40,41,7,4,2,0
1,40,45,15,1,2,1
1,50,35,11,2,11,1
1,60,61,8,2,2,0
1,40,49,15,2,3,0
1,60,52,11,4,4,0
1,50,46,7,1,10,0
1,50,23,12,2,9,1
1,40,36,15,2,2,0
1,40,43,11,1,3,0
1,40,35,12,1,9,0
1,40,39,11,2,6,0
1,40,39,9,2,3,0
1,50,47,12,1,9,0
1,40,53,15,1,10,0
1,45,53,15,2,13,0
0,40,26,12,2,9,0
0,50,52,11,2,11,0
0,56,61,4,2,13,0
0,40,28,11,1,10,0
0,40,42,12,2,9,0
0,42,44,12,1,9,0
0,40,51,11,2,6,0
0,40,39,11,1,2,0
0,44,36,9,5,9,0
0,50,45,15,2,3,0
0,40,27,9,2,3,0
0,35,40,12,1,0,0
0,40,25,9,2,11,0
0,40,47,11,2,11,0
0,50,32,9,2,9,0
0,38,53,11,2,0,0
0,60,32,15,2,11,0
0,40,49,11,2,2,0
0,36,27,8,2,9,1
0,38,26,9,2,3,0
0,50,60,11,4,7,0
0,60,56,12,4,11,0
0,40,58,7,2,0,0
0,50,39,9,2,11,0
0,38,53,12,2,9,0
0,45,27,15,2,2,1
0,60,46,12,1,9,0
0,45,30,11,2,3,0
0,40,38,11,1,2,1
0,40,41,9,2,9,0
0,75,27,11,2,13,0
0,40,43,9,2,12,0
0,40,30,9,0,9,0
0,40,25,9,2,9,0
0,38,26,9,4,3,0
0,54,53,9,1,9,0
0,46,39,1,2,2,0
0,40,47,15,1,9,0
0,55,44,15,2,2,0
1,60,61,11,4,4,0
1,40,44,7,2,2,0
1,42,28,11,2,2,0
1,40,34,9,2,9,1
1,40,39,9,2,11,0
1,48,41,8,2,12,0
1,70,35,9,2,3,0
1,50,34,11,2,2,0
1,50,30,7,2,3,0
1,50,30,11,2,2,0
1,45,33,9,1,0,0
1,40,31,11,2,2,0
1,40,50,11,2,12,0
1,45,27,11,2,9,0
1,65,37,11,4,3,0
1,40,30,11,2,2,0
1,44,49,15,2,9,0
1,40,52,12,5,9,0
1,40,39,2,1,13,1
1,48,37,11,2,6,0
1,50,39,12,2,9,0
1,54,38,9,2,3,0
1,40,44,9,2,9,0
1,40,45,15,2,2,0
1,40,54,11,2,11,0
1,40,58,7,2,6,0
1,55,36,9,0,0,0
1,40,45,6,2,7,0
1,40,46,8,0,12,0
1,45,41,11,2,11,0
1,40,41,12,0,3,0
1,50,34,11,2,2,0
1,40,33,10,0,9,0
1,40,63,9,2,11,0
1,50,56,15,2,11,0
1,40,48,11,1,12,0
1,55,40,7,2,3,0
1,45,59,15,2,3,0
1,50,32,9,2,11,0
1,60,29,9,1,9,1
1,40,41,11,2,2,0
1,40,30,15,2,11,0
1,40,34,12,5,6,0
1,65,41,15,2,13,0
1,45,46,9,2,9,0
1,45,39,12,2,3,0
1,60,26,11,2,2,0
1,55,27,9,2,11,0
1,40,61,9,2,9,0
1,40,37,9,2,3,0
0,70,67,15,2,11,0
1,10,66,11,3,11,0
1,12,74,9,4,3,0
1,40,66,11,5,3,0
0,2,71,15,4,11,0
0,60,80,15,2,9,0
0,40,24,11,2,7,0
0,40,28,15,4,13,0
0,30,59,11,2,11,0
0,32,24,11,2,11,0
0,40,24,15,2,11,0
0,40,52,11,2,11,0
0,40,39,9,4,0,0
0,35,43,11,2,7,0
0,25,22,0,2,11,0
0,40,30,7,2,0,0
0,40,21,1,2,5,1
0,40,24,11,2,10,0
0,28,21,15,2,11,0
1,45,49,12,2,3,0
1,40,52,9,2,9,0
0,40,38,15,2,2,0
0,48,30,9,2,11,0
0,40,38,9,1,3,1
0,40,25,2,2,6,0
0,45,34,9,2,3,0
0,45,24,9,0,9,0
0,40,25,9,2,9,0
0,38,31,9,2,3,0
0,40,39,9,0,0,0
0,60,35,11,2,13,0
0,40,31,0,1,13,0
0,42,30,11,2,6,0
0,35,42,12,1,9,0
0,50,42,15,2,3,0
0,40,41,9,2,9,0
0,40,46,11,2,2,0
0,40,34,9,2,3,0
0,40,36,9,2,3,0
0,40,36,9,2,11,0
0,40,44,7,0,0,0
0,52,28,11,2,7,0
0,38,52,11,2,0,0
0,40,43,9,2,0,0
0,40,45,11,2,6,0
0,45,30,9,2,9,0
0,48,50,15,1,0,0
0,20,41,9,1,9,0
0,20,31,15,2,0,0
0,40,27,11,3,2,0
0,35,63,9,2,11,0
0,25,33,11,2,0,0
0,40,28,11,2,13,0
0,40,34,15,1,2,0
0,40,31,8,2,2,0
0,40,30,14,2,9,1
0,40,47,7,5,10,0
0,40,35,11,2,2,0
0,47,32,15,2,11,0
